# torch_bench: torch=2.13.0+cpu threads_swept=[1, 2, 4, 8, 16] cuda_available=False python=3.12.10
workload                   dtype  thr  inner   median_ms      p99_ms      min_ms      max_ms  result
matmul_128                   f64   16    516      0.0530      0.0962      0.0409      0.0962  -1195.283115
matmul_128                   f32    1    351      0.0589      0.0710      0.0414      0.0710  -1195.282593
matmul_128                   f32    2    776      0.0350      0.0427      0.0319      0.0427  -1195.282593
matmul_128                   f32    4    905      0.0262      0.0382      0.0216      0.0382  -1195.282593 <- best
matmul_128                   f32    8    839      0.0272      0.0377      0.0188      0.0377  -1195.282959
matmul_128                   f32   16    705      0.0472      0.0877      0.0306      0.0877  -1195.282959
matmul_256                   f64    1     26      0.8059      1.0242      0.5776      1.0242  -4200.679047
matmul_256                   f64    2     61      0.4458      0.5701      0.3946      0.5701  -4200.679047
matmul_256                   f64    4     45      0.3394      0.5500      0.2548      0.5500  -4200.679047
matmul_256                   f64    8     51      0.3419      1.0156      0.2249      1.0156  -4200.679047
matmul_256                   f64   16     73      0.3365      0.5527      0.2170      0.5527  -4200.679047 <- best
matmul_256                   f32    1     80      0.3933      0.4255      0.2900      0.4255  -4200.680664
matmul_256                   f32    2    120      0.2268      0.2656      0.2002      0.2656  -4200.681152
matmul_256                   f32    4    126      0.1463      0.2020      0.1294      0.2020  -4200.681152
matmul_256                   f32    8    262      0.1160      0.2204      0.0909      0.2204  -4200.681152 <- best
matmul_256                   f32   16    247      0.1469      0.2036      0.1215      0.2036  -4200.681152
matmul_512                   f64    1      5      6.7686      7.2235      4.6585      7.2235  -10759.042226
matmul_512                   f64    2      6      3.4965      3.7954      3.2649      3.7954  -10759.042226
matmul_512                   f64    4     12      1.8838      2.2392      1.7900      2.2392  -10759.042226
matmul_512                   f64    8     23      1.5137      2.0482      1.1262      2.0482  -10759.042226
matmul_512                   f64   16     20      1.4831      2.3043      1.1214      2.3043  -10759.042226 <- best
matmul_512                   f32    1      6      3.5521      5.0910      2.9138      5.0910  -10759.041992
matmul_512                   f32    2     16      1.6441      1.9677      1.4695      1.9677  -10759.041016
matmul_512                   f32    4     26      0.9114      1.0223      0.8387      1.0223  -10759.042969
